IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟
47.130.116.139,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,106 ms
84.247.149.247,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,185 ms
139.177.185.196,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,185 ms
38.244.147.68,2053,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,253 ms
84.247.149.239,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,253 ms
84.247.149.240,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,261 ms
84.247.149.248,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,284 ms
194.36.179.17,8443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,345 ms
91.192.81.154,2053,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,348 ms
217.15.162.50,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,349 ms
188.166.182.46,8888,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,351 ms
64.235.61.162,7000,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,353 ms
61.245.11.227,2053,TRUE,SIN,PH,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,357 ms
64.235.45.169,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,357 ms
61.245.11.69,2053,TRUE,SIN,PH,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,369 ms
209.97.172.130,8080,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,376 ms
167.172.88.191,444,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,379 ms
167.172.88.191,993,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,401 ms
43.153.204.145,51050,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,103 ms
84.247.149.251,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,103 ms
178.239.123.216,24443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,99 ms
84.247.149.237,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,100 ms
84.247.149.243,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,106 ms
103.99.11.193,2053,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,115 ms
199.21.175.187,2053,TRUE,CGK,ID,Asia Pacific,Jakarta,亚洲,印度尼西亚,雅加达,🇸🇬,126 ms
103.99.11.193,8443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,145 ms
45.91.134.225,5060,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,182 ms
45.144.167.223,27125,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,195 ms
199.21.175.187,8443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,206 ms
45.136.253.18,33273,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,206 ms
45.154.26.81,8443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,233 ms
82.23.177.174,13825,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,240 ms
172.86.83.44,42935,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,242 ms
84.247.146.234,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,248 ms
38.244.147.68,443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,252 ms
140.245.51.172,52295,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,254 ms
84.247.149.242,7443,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,254 ms
213.35.127.9,17534,TRUE,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,255 ms
